Kategori	Byggnavn	Med i oversikten	ByggeÅr	Areal-2020	Areal-2019	Areal-2020
612-Barnehage	Aastahagen barnehage	1	2011	1796	1796	1796
612-Barnehage	Angelltrøa barnehage	1	1971	479	479	479
612-Barnehage	Blomsterbyen barnehage	1	2007	789	789	789
612-Barnehage	Brannhaugen Barnehage	1	2009	831	831	831
612-Barnehage	Brannåsen barnehage	0		336	336	0
612-Barnehage	Breidablikk barnehage	1	1969	288	288	288
612-Barnehage	Breidablikk utbyggingsområde- bygg D	1	2006	2143	2143	2143
612-Barnehage	Breidablikk-ny (nedre)-barnehage	1	2010	961	961	961
612-Barnehage	Brinken barnehage	1	1989	501	501	501
612-Barnehage	Bromstad barnehage	1	1989	496	496	496
612-Barnehage	Brøset Marikåpa barnehage	1	2007	876	876	876
612-Barnehage	Brøset Prestekragen barnehage	1	2007	618	618	618
612-Barnehage	Charlottenlund barnehage	1	1970	738	738	738
612-Barnehage	Ferista friluftsbarnehage	1	2011	724	724	724
612-Barnehage	Festningen barnehage	1	2010	807	807	807
612-Barnehage	Firkanten Barnehage	0		615	615	0
612-Barnehage	Furutoppen barnehage	1	1995	1143	1143	1143
612-Barnehage	Gartneriet barnehage	1	2008	2086	2086	2086
612-Barnehage	Gjørtlervegen barnehage	1	2006	2042	2042	2042
612-Barnehage	Granåsen barnehage	1	2016	1105	1105	1105
612-Barnehage	Grillstadfjæra barnehage	1	2013	1100	1100	1100
612-Barnehage	Haukåsen barnehage	1	2013	813	813	813
612-Barnehage	Havsteinaunet Gule barnehage	1	1991	553	553	553
612-Barnehage	Havsteinaunet røde barnehage	1	1980	311	311	311
612-Barnehage	Hesteskoen barnehage	0	2009	731	731	0
612-Barnehage	Huseby barnehage	1	1975	1318	1318	1318
612-Barnehage	Hårstad barnehage	1	2006	585	585	585
612-Barnehage	Ila barnehage	1	1840	1084	1084	1084
612-Barnehage	Iladalen barnehage	1	2005	869	869	869
612-Barnehage	Ilsvika barnehage	1	2004	100	100	100
612-Barnehage	Jotunheimen barnehage	1	1973	269	269	269
612-Barnehage	Kastbrekka barnehage	1	2010	1000	1000	1000
612-Barnehage	Kattem barnehager	1	2012	1052	1052	1052
612-Barnehage	Klæbuveien barnehage	1	2006	779	779	779
612-Barnehage	Kolstad barnehage	0	2020	794	794	0
612-Barnehage	Kolsås barnehage	1	2006	402	402	402
612-Barnehage	Korsvika barnehage	1	1993	305	305	305
612-Barnehage	Krinkelkroken Barnehage	1	2000	594	594	594
612-Barnehage	Kristiansten Barnehage	1	2009	807	807	807
612-Barnehage	Kystadåsen barnehage	1	2008	615	615	615
612-Barnehage	Kyvannet naturbarnehage	1	2007	576	576	576
612-Barnehage	Leistad (Midlertidig))Barnehage	0		657	657	0
612-Barnehage	Leistad barnehage	1		978	978	978
612-Barnehage	Lidarende barnehage	1	2006	786	786	786
612-Barnehage	Lohove barnehage	1	2007	695	695	695
612-Barnehage	Majorstuen barnehage	1	2006	891	891	891
612-Barnehage	Moltmyra Barnehage	1	2010	782	782	782
612-Barnehage	Munkvoll barnehage	1	1971	403	403	403
612-Barnehage	Myra Barnehage	1	2012	775	775	775
612-Barnehage	Møllebakken barnehage	1	1787	375	375	375
612-Barnehage	Møllenberg barnehage	1	1980	826	826	826
612-Barnehage	Nedre Flatåsen barnehage	1	2010	1203	1203	1203
612-Barnehage	Nidarvoll barnehage	1	2012	1003	1003	1003
612-Barnehage	Nordslettveien barnehage	1	1986	456	456	456
612-Barnehage	Nypvang barnehage	1	2008	731	731	731
612-Barnehage	Okstad barnehage	1	1991	496	496	496
612-Barnehage	Okstadvegen Barnehage	1	2007	725	725	725
612-Barnehage	Persaunet barnehage	1	2007	892	892	892
612-Barnehage	Porsmyra barnehage	1	2007	745	745	745
612-Barnehage	Presthus gård barnehage	1	2005	767	767	767
612-Barnehage	Ranheim barnehage	0	1989	519	519	0
612-Barnehage	Ranheimsfjæra barnehage	1	2019	1298	1298	1298
612-Barnehage	Ranheimsletta barnehage	1	1971	1164	1164	1164
612-Barnehage	Ringen barnehage	1	1972	787	787	787
612-Barnehage	Risvollan midlertidige barnehage	1		730	730	730
612-Barnehage	Rognbudalen barnehage	1	1988	470	470	470
612-Barnehage	Romemyra barnehage	1	1989	473	473	473
612-Barnehage	Romolslia Gammelbygg barnehage	1	1974	1071	1071	1071
612-Barnehage	Romolslia Nybygg barnehage	1	2015	407	407	407
612-Barnehage	Rye barnehage	1	2006	672	672	672
612-Barnehage	Rønningen barnehage	1	2001	282	282	282
612-Barnehage	Saupstad Barnehage	1	1978	735	735	735
612-Barnehage	Selsbakkhøgda barnehage	1	1973	519	519	519
612-Barnehage	Singsaker barnehage	1		555	555	555
612-Barnehage	Sjetne barnehage	1	1971	738	738	738
612-Barnehage	Skjermveien barnehage	1	2008	733	733	733
612-Barnehage	Skytterveien barnehage	1	1987	454	454	454
612-Barnehage	Sletten barnehage	0		376	376	0
612-Barnehage	Sletten barnehage Avdeling Rydland	0		144	144	0
612-Barnehage	Sollia barnehage	1	1989	463	463	463
612-Barnehage	Spongdal barnehage	1	1992	301	301	301
612-Barnehage	Stabburet barnehage	1	2005	867	867	867
612-Barnehage	Stubban Barnehage	1	2016	1002	1002	1002
612-Barnehage	Sunnland gulthus barnehage	1	1994	286	286	286
612-Barnehage	Sunnland rødthus barnehage	1	1971	279	279	279
612-Barnehage	Sverresborg Friluftsbarnehage	0		139	139	0
612-Barnehage	Sverresborg barnehage - tidligere Cecilienborg barnehage	1	1963	403	403	403
612-Barnehage	Sverresborg barnehage - tidligere Sverresli barnehage	1	1968	467	467	467
612-Barnehage	Teglverket barnehage (Eberg barnehager)	1	1988	455	455	455
612-Barnehage	Thyra Torvsletta barnehage	1	1979	550	550	550
612-Barnehage	Thyra Ustmyra barnehage	1	1979	290	290	290
612-Barnehage	Tirilltoppen barnehage	1	2014	1228	1228	1228
612-Barnehage	Tonstad barnehage	1	1982	1098	1098	1098
612-Barnehage	Tordenskjold barnehage	1	1989	562	562	562
612-Barnehage	Trolla barnehage	1	1972	581	581	581
612-Barnehage	Valentinlyst barnehage	1	1996	447	447	447
612-Barnehage	Valset barnehage	1	1968	682	682	682
612-Barnehage	Vesletun barnehage	1	1981	342	342	342
612-Barnehage	Vestlia Arnehuset barnehage	1	1983	439	439	439
612-Barnehage	Vestlia Bjarnehuset barnehage	1	1983	644	644	644
612-Barnehage	Voldsminde barnehage	1	1964	2003	2003	2003
612-Barnehage	Åsvang (Grønnstein) Barnehage	1	2003	408	408	408
612-Barnehage	Åsvang Bergslia barnehage	1	2003	280	280	280
612-Barnehage	Østmarkneset barnehage	1	2003	264	264	264
612-Barnehage	Øvre Flatåsen Barnehage	1	1984	410	410	410
612-Barnehage	Øvre Jakobsli Barnehage	1	1972	1100	1100	1100
612-Barnehage	Øya Barnehage	1	2016	1661	1661	1661
63-Laboratoriebygning	Analysesenteret	1		1650	1650	1650
65-Idrettsbygning	Arenabygg Granåsen	0	2020	2404	2404	0
65-Idrettsbygning	Trikkestallen Skatepark	1	1914	3156	3156	3156
129-Andre småhus untatt enebolig	Avanti	0		100	100	0
129-Andre småhus untatt enebolig	Buranhus AKKS musikksenter	0		100	100	0
129-Andre småhus untatt enebolig	Uffa-huset Innherredsveien	0		100	100	0
613-Barneskole	Berg barneskole	1	1996	4220	4220	4220
613-Barneskole	Bispehaugen barneskole	1	1988	8801	8801	8801
613-Barneskole	Bratsberg barneskole	1	1954	1204	1204	1204
613-Barneskole	Breidablikk barneskole	1	1989	4715	4715	4715
613-Barneskole	Brundalen barneskole	1	1998	7229	7229	7229
613-Barneskole	Byåsen barneskole	1	1965	8821	8821	8821
613-Barneskole	Charlottenlund barneskole	1	1964	8300	8300	8300
613-Barneskole	Dalgård barneskole	1	1976	8996	8996	8996
613-Barneskole	Eberg barneskole	1	1997	4493	4493	4493
613-Barneskole	Hallset barneskole	1	1969	6158	6158	6158
613-Barneskole	Huseby skole avd. Kolstad	1	1972	4373	4373	4373
613-Barneskole	Hårstad barneskole	1	1997	4135	4135	4135
613-Barneskole	Ila barneskole	1	1921	6355	6355	6355
613-Barneskole	Jakobsli skole (gamle Ranheim skole)	1	1967	2930	2930	2930
613-Barneskole	Kalvskinnet bskole	1	1887	4409	4409	4409
613-Barneskole	Kattem barneskole	1	1983	4308	4308	4308
613-Barneskole	Lade skole	1	2018	10657	10651.3025	10657
613-Barneskole	Lilleby skole	0	1911	4623	4623	0
613-Barneskole	Nardo barneskole	1	2008	6097	6097	6097
613-Barneskole	Nidarvoll barneskole	1	1955	6360	6360	6360
613-Barneskole	Nidarvoll bskole - Paviljong	1		839	839	839
613-Barneskole	Nyborg barneskole og barnehage	1	2005	4471	4471	4471
613-Barneskole	Nypvang barneskole	0	1983	3206	3206	0
613-Barneskole	Okstad barneskole	0	2020	2055	1822	0
613-Barneskole	Ranheim barneskole	1	2012	5418.333333	4373	5418.333333
613-Barneskole	Romolslia barneskole	1	1997	3364	3364	3364
613-Barneskole	Rye barneskole	1	1977	2575	2575	2575
613-Barneskole	Singsaker barneskole	1	1915	5134	5134	5134
613-Barneskole	Solbakken skole	1	2014	2157	2157	2157
613-Barneskole	Spongdal skole	1	2015	9342	9342	9342
613-Barneskole	Stavset bskole	1	1993	5155	5155	5155
613-Barneskole	Steindal barneskole	1	1997	4538	4538	4538
613-Barneskole	Strindheim skole	1	1998	7851	7851	7851
613-Barneskole	Sverresmyr interimskole	1	2009	3645	3645	3645
613-Barneskole	Sørborgen skole	0		100	100	0
613-Barneskole	Tanem skole	0		100	100	0
613-Barneskole	Utleira barneskole	1	1998	6396	6396	6396
613-Barneskole	Vikåsen barneskole	0	1993	6920	6920	0
613-Barneskole	Åsheim barneskole	1	1960	4885	4885	4885
613-Barneskole	Åsvang barneskole	1	1962	6776	6776	6776
613-Barneskole	Åsveien skole og Åsveihallen	1	2015	10473	10473	10473
614-Ungdomsskole	Blussuvoll ungdomskole	1	2007	7700	7700	7700
614-Ungdomsskole	Charlottenlund ungdomsskole	1	2005	5255	5255	5255
614-Ungdomsskole	Hoeggen ungdomsskole	0	1974	6851	6851	0
614-Ungdomsskole	Klæbu ungdomsskole	0		4979	4979	0
614-Ungdomsskole	Markaplassen ungdomsskole	1	2001	6041	6041	6041
614-Ungdomsskole	Rosenborg ungdomsskole	1	2011	6900	6900	6900
614-Ungdomsskole	Selsbakk ungdomsskole	1	1977	6060	6060	6060
614-Ungdomsskole	Sunnland ungdomsskole	1	1959	6966	6966	6966
614-Ungdomsskole	Sverresborg ungdomsskole	1	1962	8449	8449	8449
614-Ungdomsskole	Ugla ungdomsskole	1	1966	6610	6610	6610
614-Ungdomsskole	Åsheim ungdomsskole	1	2004	5255	5255	5255
721-Sykehjem	Bromstad helse og velferdssenter	1	1994	1350	1350	1350
721-Sykehjem	Brundalen helse og velferdssenter	1	1984	5287	5287	5287
721-Sykehjem	Buran helse og Velferdssenter	1	2000	1523	1523	1523
721-Sykehjem	Charlottenlund helse og velferdssenter	1	1968	6000	6000	6000
721-Sykehjem	Dragvoll helse- og velferdssenter	1	2013	5758	5758	5758
721-Sykehjem	E C Dahls helse og velferdssenter	1	1986	3140	3140	3140
721-Sykehjem	Havstein sykehjem	1	1992	8425	8425	8425
721-Sykehjem	Havsteinekra helse og velferdssenter	1	2007	5730	5730	5730
721-Sykehjem	Ilevollen helse og velferdssenter	1	1990	3356	3356	3356
721-Sykehjem	Ilsvika helse og velferdssenter	1	2002	2553	2553	2553
721-Sykehjem	Kattem helse- og velferdssenter	1	2010	5369	5369	5369
721-Sykehjem	Kystad sykehjem	1	2003	1900	1900	1900
721-Sykehjem	Ladesletta helse- og velferdssenter	1	2012	10940	10940	10940
721-Sykehjem	Moholt helse- og velferdssenter	1	1999	1999	1999	1999
721-Sykehjem	Munkvoll hvs	1	2004	3701	3701	3701
721-Sykehjem	Nidarvoll helsehus	1	1985	7581	7581	7581
721-Sykehjem	Nypantunet sykehjem	0	1992	3047	3047	0
721-Sykehjem	Persaunet helse- og velferdssenter	1	2017	9108	9108	9108
721-Sykehjem	Ranheim helse og velferdssenter	1	1999	1966	1966	1966
721-Sykehjem	Søbstad Helsehus	1	1995	9360	9360	9360
721-Sykehjem	Tempe helse og velferdssenter	1	2004	6073	6073	6073
721-Sykehjem	Tiller helse og velferdssenter	1	2003	6437	6437	6437
721-Sykehjem	Valentinlyst helse og velferdssenter	1	2005	8826	8826	8826
721-Sykehjem	Zion sykehjem	1	2005	7602	7602	7602
615-Kombinert barne- og ungdomsskole	Brøset Interim skole	1	2012	4945	4945	4945
615-Kombinert barne- og ungdomsskole	Flatåsen nedre skole	1	1998	6823	6823	6823
615-Kombinert barne- og ungdomsskole	Flatåsen øvre skole	1	1991	6041	6041	6041
615-Kombinert barne- og ungdomsskole	Rosten barne og ungdomsskole	1	1987	6199	6199	6199
615-Kombinert barne- og ungdomsskole	Sjetne barne og ungdomsskole	1	1971	8832	8832	8832
615-Kombinert barne- og ungdomsskole	Stabbursmoen barne og ungdomsskole	1	1954	5443	5443	5443
615-Kombinert barne- og ungdomsskole	Tonstad b og u skole - paviljong	1		415	415	415
615-Kombinert barne- og ungdomsskole	Tonstad barne og ungdomsskole	1	1981	5937	5937	5937
73-Bygning for helsetjenester	Byneset sykehjem	1	2003	3360	3360	3360
73-Bygning for helsetjenester	Helsevakta	1	2018	6935.9	6935.9	6935.9
73-Bygning for helsetjenester	Tyholt aktivitets- og sansesenter	1	1987	2321	2321	2321
73-Bygning for helsetjenester	Østbyen helsehus - Leistad	1	1992	3563	3563	3563
73-Bygning for helsetjenester	Øya helsehus	1	2008	16646	16646	16646
651-Idrettshall	Byneshallen	1	2005	2091	2091	2091
651-Idrettshall	Dalgård Idrettsanlegg	1	1976	708	708	708
651-Idrettshall	Husebyhallen	1	1993	2965	2965	2965
651-Idrettshall	Munkvollhallen	1	2009	2246	2246	2246
651-Idrettshall	Ranheim Friidrettshall	1	2010	5514	5514	5514
651-Idrettshall	Rosenborghallen	1	2011	2724	2724	2724
651-Idrettshall	Rostenhallen	1	1987	2877	2877	2877
651-Idrettshall	Tanemshallen	0		1544	107.7633333	0
651-Idrettshall	Vikåsenhallen	1	2003	2156	2156	2156
651-Idrettshall	Åsheimhallen	1	2004	2350	2350	2350
651-Idrettshall	Åsveihallen	0	2015	2391	2391	0
142-Omsorgsbolig	Dalgård avlastningsbolig	1		500	500	500
142-Omsorgsbolig	Jarleveien 10	1	2017	3702	3702	3702
142-Omsorgsbolig	Ranheimsvegen 149	1	2010	777	777	777
652-Ishall	Dalgård ishall	1	1989	3277	3277	3277
652-Ishall	Leangen Ishall	0	1977	11077	11077	0
82-Beredskapsbygning	Granåsen leir	1		2600	2600	2600
654-Tribune og idrettsgarderobe	Granåsen-Skianlegg	1	1990	2491	2491	2491
654-Tribune og idrettsgarderobe	Lade Idrettsanlegg	0		1174	1174	0
653-Svømmehall	Husebybadet	1	1993	2750	2750	2750
214-Kjøretøyverksted	Håkon Magnusons gt Driftsbase og Dagskole	1	1960	4082	4082	4082
66-Kunst- og kulturbygning	Klæbu Kulturhus	0		100	100	0
66-Kunst- og kulturbygning	Kultursenteret ISAK	1	1973	4500	4500	4500
66-Kunst- og kulturbygning	LKV Lademoen Kunstnerverksted	1	1905	4508	4508	4508
68-Aktivitets- og opplevelsesbygning	Kongsvegen 130 - Skoggruppa	1		450	450	450
68-Aktivitets- og opplevelsesbygning	Vidarheim dagsenter	1		1100	1100	1100
641-Museum	Leangen gård	1	1820	1750	1750	1750
822-Brannstasjon, ambulansestasjon	Nyhavna Brannstasjon	0	2015	2423	2423	0
822-Brannstasjon, ambulansestasjon	Trondheim Hovedbrannstasjon (Sluppen)	0	2014	5728	5728	0
822-Brannstasjon, ambulansestasjon	Trøndelag brann- og redningstjeneste IKS (Sluppen)	0	2014	1261	1261	0
822-Brannstasjon, ambulansestasjon	Trøndelag brann- og redningstjeneste IKS - Sandmoen brannstasjon	0	2012	2038	2038	0
522-Sentralkjøkken, kantinebygning	Produksjonskjøkkenet	1	2002	2620	2620	2620
31-Kontorbygning	Rådhuset	1	1896	4842	4842	4842
839-Annen bygning for kontroll og overvåking	Torvet	0		1000	1000	0
642-Bibliotek	Trondheim folkebibliotek Hovedbiblioteket	1		9083	9083	9083
53-Servicebygning	Valøya Sentralanlegg	1		9112	9112	9112